month(days),sd_like,sd_retweet,sd_tweet
07-2020 (>15),,,
07-2020 (<=15),53332.57499,0,1.211060142
06-2020 (>15),54227.06229,0,0.5
06-2020 (<=15),74674.77354,0.377964473,1.112697281
05-2020 (>15),60114.22475,0,0.547722558
05-2020 (<=15),37436.04414,0,0.707106781
04-2020 (>15),92941.34514,0,31.2002331
04-2020 (<=15),55919.95583,0,2.507132682
03-2020 (>15),56027.87246,0.353553391,0.9258201
03-2020 (<=15),38197.90018,0,1.401298099
02-2020 (>15),26267.84798,0,9.436871593
02-2020 (<=15),43918.78732,0,1.797434069
01-2020 (>15),23488.67352,0,0.457737708
01-2020 (<=15),46438.30384,0,0.467099366
12-2019 (>15),25464.94863,0,0
12-2019 (<=15),53728.33866,0,0.46291005
11-2019 (>15),36272.05859,0,0.778498944
11-2019 (<=15),34628.26564,0,0.483045892
10-2019 (>15),34508.37243,0,0.527046277
10-2019 (<=15),59315.85171,0,1.375103302
09-2019 (>15),26177.62773,0,0.726483157
09-2019 (<=15),52452.70141,0,0.942809042
08-2019 (>15),50311.87106,0,1.60113596
08-2019 (<=15),30486.26641,0,0.904534034
07-2019 (>15),53853.08967,0,16.42406771
07-2019 (<=15),90263.51505,0,0.668557923
06-2019 (>15),78702.79548,0,0.875595036
06-2019 (<=15),59553.01434,0,1.035098339
05-2019 (>15),44596.95766,0,0.487950036
05-2019 (<=15),61295.72125,0.301511345,0.750757194
04-2019 (>15),44111.46742,0.288675135,11.74605027
04-2019 (<=15),29547.2983,0,1.466804401
03-2019 (>15),20914.85099,0,0.547722558
03-2019 (<=15),44278.18599,0,0.726483157
02-2019 (>15),47913.41676,0,0.51754917
02-2019 (<=15),30246.48235,0,0.46291005
01-2019 (>15),40652.99699,0.277350098,1.091928428
01-2019 (<=15),31502.28073,0,1.322875656
12-2018 (>15),37900.56215,0,1.519109051
12-2018 (<=15),39805.0556,0,1.354006401
11-2018 (>15),20060.45771,0,0.966091783
11-2018 (<=15),27049.32909,0,0.668557923
10-2018 (>15),32624.35782,0,0.949262293
10-2018 (<=15),23201.90152,0,0.717740563
09-2018 (>15),25910.76624,0,0.864437822
09-2018 (<=15),17728.93682,0,1.031553471
08-2018 (>15),28368.64169,0.341565026,1.61245155
08-2018 (<=15),20178.92569,0,1.264911064
07-2018 (>15),18689.28093,0.492365964,0.887625365
07-2018 (<=15),77816.49345,0.267261242,2.143223412
06-2018 (>15),28183.64757,0,1.054092553
06-2018 (<=15),22987.13051,0,0.707106781
05-2018 (>15),49531.47765,0,1.715938357
05-2018 (<=15),13527.19657,0,0
04-2018 (>15),41018.48532,0,12.48465725
04-2018 (<=15),17516.29542,0,0.797724035
03-2018 (>15),43051.79493,0,0.820199532
03-2018 (<=15),19135.80794,0,0.755928946
02-2018 (>15),22919.24503,0,0.881917104
02-2018 (<=15),38948.83701,0.301511345,0.820199532
01-2018 (>15),23400.66365,0,0.567646212
01-2018 (<=15),26397.37056,0.504524979,1.044465936
12-2017 (>15),19565.13391,4.077841081,0.792961461
12-2017 (<=15),47238.97856,0.288675135,1.12815215
11-2017 (>15),23903.19964,0,0.674199862
11-2017 (<=15),35463.8734,0.646669791,1.221027883
10-2017 (>15),26946.47364,0,1.251372872
10-2017 (<=15),22643.62844,0.389249472,0.965307299
09-2017 (>15),42890.93308,0,1.825741858
09-2017 (<=15),23132.85822,0.277350098,1.506396618
08-2017 (>15),26613.72372,0,1.311372171
08-2017 (<=15),12143.81453,0,0.5
07-2017 (>15),44361.49691,0.288675135,2.315952582
07-2017 (<=15),23139.96186,0.301511345,0.301511345
06-2017 (>15),24140.96087,0,1.407885953
06-2017 (<=15),18266.95107,0.516397779,0.632455532
05-2017 (>15),38693.4198,0.651338947,6.414944673
05-2017 (<=15),12205.91586,0.316227766,0.316227766
04-2017 (>15),25890.35581,0.633323694,9.685437125
04-2017 (<=15),19531.24379,0.452267017,3.369875459
03-2017 (>15),17691.25197,0.46291005,0.534522484
03-2017 (<=15),16267.35396,0.46291005,0.51754917
02-2017 (>15),6913.523617,0.755928946,0.899735411
02-2017 (<=15),14000.25968,0.375533808,0.725011052
01-2017 (>15),32416.88715,0,1.974841766
01-2017 (<=15),13973.82833,0.414039336,0.915475416
12-2016 (>15),8930.864971,0.971825316,0.707106781
12-2016 (<=15),12671.63543,0.46291005,0.51754917
11-2016 (>15),15386.92434,1.33749351,2.415229458
11-2016 (<=15),15619.79078,0.687551651,3.003028774
10-2016 (>15),12211.91966,0.389249472,0.900336637
10-2016 (<=15),11301.94658,0.650443636,1.23516842
09-2016 (>15),8001.075127,0.333333333,1.394433378
09-2016 (<=15),13384.4804,0.554700196,1.250640861
08-2016 (>15),20555.12609,8.285098499,3.438629934
08-2016 (<=15),10113.98702,1.240112409,1.585922922
07-2016 (>15),4137.014518,0,0.699205899
07-2016 (<=15),5851.650439,0.301511345,0.831209415
06-2016 (>15),7180.653351,0,1.197219
06-2016 (<=15),9519.527378,0.333333333,0.707106781
05-2016 (>15),2735.952942,0,0.447213595
05-2016 (<=15),6150.131568,0,0.447213595
04-2016 (>15),5618.274258,0,4.869731585
04-2016 (<=15),14896.9938,0,7.40393016
03-2016 (>15),16643.0663,0.301511345,0.674199862
03-2016 (<=15),3505.161266,0,0.40824829
02-2016 (>15),2624.348141,0,0.404519917
02-2016 (<=15),2713.061675,0,1.103712743
01-2016 (>15),2916.612001,0,0.483045892
01-2016 (<=15),5324.740164,0,0.975900073
12-2015 (>15),1158.580065,0,0
12-2015 (<=15),3404.432601,0,0.577350269
11-2015 (>15),1504.016124,0,0
11-2015 (<=15),6508.536074,0.316227766,1.888562063
10-2015 (>15),3783.086214,0,1.516575089
10-2015 (<=15),2992.551757,0.301511345,1.120064933
09-2015 (>15),2389.074521,0,0.836660027
09-2015 (<=15),1637.063275,0.40824829,0.547722558
08-2015 (>15),2672.587058,0,0.957427108
08-2015 (<=15),2787.51843,0,1.154700538
07-2015 (>15),3180.426843,0,0.377964473
07-2015 (<=15),3973.060785,0,0.699205899
06-2015 (>15),1974.242133,0,0
06-2015 (<=15),1242.557725,0,0.447213595
05-2015 (>15),1750.613488,0,0.5
05-2015 (<=15),1155.642534,0,0
04-2015 (>15),2595.551286,0,1.463850109
04-2015 (<=15),2372.048693,0,0.707106781
03-2015 (>15),3239.702108,0,1.092906421
03-2015 (<=15),1149.875776,0,0.894427191
02-2015 (>15),7498.75611,0.40824829,0.816496581
02-2015 (<=15),5327.012265,0.755928946,0.755928946
01-2015 (>15),1608.667927,0,0.707106781
01-2015 (<=15),498.5102807,0,0.707106781
12-2014 (>15),2551.183549,0,0.816496581
12-2014 (<=15),763.6871087,0,0.5
11-2014 (>15),2463.868329,0,0.534522484
11-2014 (<=15),2569.565266,0,2.160246899
10-2014 (>15),1004.412114,0.333333333,0.5
10-2014 (<=15),1355.514734,0,1.054092553
09-2014 (>15),1002.769664,0.577350269,0.577350269
09-2014 (<=15),324.2503148,0,0
08-2014 (>15),922.1101886,0,0.836660027
08-2014 (<=15),,,
07-2014 (>15),,,
07-2014 (<=15),,,
04-2014 (>15),,,
04-2014 (<=15),,,
01-2014 (>15),,,
01-2014 (<=15),294.8635278,0,0
12-2013 (>15),849.942351,0,0.707106781
12-2013 (<=15),,,
11-2013 (>15),,,
11-2013 (<=15),,,
08-2013 (>15),,,
08-2013 (<=15),,,
02-2013 (>15),,,
02-2013 (<=15),883.1763697,0,0.707106781
12-2012 (>15),,,
12-2012 (<=15),,,
10-2012 (>15),,,
10-2012 (<=15),562.149891,0,0
09-2012 (>15),1489.588422,0,0.957427108
09-2012 (<=15),,,
08-2012 (>15),902.7760889,0,1.892969449
08-2012 (<=15),354.1641176,0,1.370320319
07-2012 (>15),329.3311403,0,0.577350269
07-2012 (<=15),355.3238898,0,2.639444386
